Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1114,2 BHK Ready to Occupy Flat for sale Nerul West,"This lovely 2 BHK Flat in Nerul West, Navi Mumbai is up for sale. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Nerul West can be taken at a very economical pricing of INR 80 Lac. You will find it unfurnished.",80 Lac ,10667,navi-mumbai,,Ready to Move,1 out of 4,Resale,Unfurnished,,,,2,,,,750 sqft,,
1115,1 BHK Ready to Occupy Flat for sale Taloja,"This attractive 1 BHK apartment can be found for sale in Taloja, Navi Mumbai. This flat for resale is the perfect property for you! This ready to move flat in Taloja comes at an affordable price of INR 40 Lac.",40 Lac ,5135,navi-mumbai,,Ready to Move,3 out of 13,Resale,,,,,1,,,,779 sqft,,
1116,2 BHK Ready to Occupy Flat for sale in Bhagwati Greens Sector 23 Kharghar,"Creatively planned and constructed is a 2 BHK flat for sale in Sector 23 Kharghar, Navi Mumbai. It is based at Bhagwati Greens complex, that occupies a prominent place in the locality. This flat for resale is the perfect property for you! Located in Sector 23 Kharghar, this ready to move apartment is sold at a fair selling price of INR 2.70 Cr. You will find it semi-furnished. flat facing view are golf course and main road are some of the key nearby landmarks.",2.70 Cr ,19780,navi-mumbai,900 sqft,Ready to Move,24 out of 29,Resale,Semi-Furnished,North - East,Main Road,Bhagwati Greens,2,2,1 Covered,Freehold,,,
1117,2 BHK Ready to Occupy Flat for sale Roadpali,"Discover this immaculate 2 BHK flat for sale at the pristine Roadpali in Navi Mumbai. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Located in Roadpali, this ready to move apartment is sold at a fair selling price of INR 88 Lac. The apartment is unfurnished.",88 Lac ,8889,navi-mumbai,,Ready to Move,9 out of 12,Resale,Unfurnished,,,,2,1,,Co-operative Society,990 sqft,,
1118,1 BHK Ready to Occupy Flat for sale in Koperkhairane Annex Kopar Khairane,"This gorgeous 1 BHK Flat is available for sale in Kopar Khairane, Navi Mumbai. Situated in the excellent Koperkhairane Annex township. The flat enjoys a prime location. This flat all equipped with required facilities, is up for resale. This apartment ready to move in the Kopar Khairane is available for an attractive price of?INR 68 Lac. You will find it unfurnished. The property is strategically placed near prominent places as this property is close to market,school college,hospital ,railwaystn. which make for the smooth living of residents.",68 Lac ,13077,navi-mumbai,440 sqft,Ready to Move,5 out of 7,Resale,Unfurnished,East,Main Road,Koperkhairane Annex,2,1,1 Open,Co-operative Society,,,
1119,2 BHK Ready to Occupy Flat for sale in Blacksmith Tower I Sector 6 Airoli,"This beautiful 2 BHK Flat is available for sale in Sector 6 Airoli, Navi Mumbai. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Blacksmith Tower I. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Sector 6 Airoli can be taken at a very economical pricing of INR 1.37 Cr. The flat is available in furnished condition.",1.37 Cr ,,navi-mumbai,700 sqft,Ready to Move,6 out of 20,Resale,Furnished,,,Blacksmith Tower I,2,,,Co-operative Society,,,
1120,2 BHK Ready to Occupy Flat for sale Roadpali,"Roadpali, Navi Mumbai has an attractive 2 BHK Flat for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat in Roadpali comes at an affordable price of INR 1.15 Cr. The spacious apartment is unfurnished. Some of the landmarks in the vicinity include road pali navi mumbai..",1.15 Cr ,9200,navi-mumbai,,Ready to Move,10 out of 18,Resale,Unfurnished,,"Garden/Park, Pool, Main Road",,2,3,1 Open,Co-operative Society,1250 sqft,,
1121,1 BHK Ready to Occupy Flat for sale in Al Yusra Elegant Heights Kalamboli,"This ready to move-in 1 BHK flat is available for sale at the premium Kalamboli in Navi Mumbai. Strategically situated in the Al Yusra Elegant Heights site, it is placed at a prime location. This flat for resale is the perfect property for you! This ready to move flat is offered at an economical price of INR 55 Lac. The flat is unfurnished and is suitable for any family size.",55 Lac ,9167,navi-mumbai,,Ready to Move,7 out of 8,Resale,Unfurnished,,,Al Yusra Elegant Heights,2,,,,600 sqft,,
1122,3 BHK Ready to Occupy Flat for sale in Delta Ulwe,"This attractive 3 BHK apartment can be found for sale in Ulwe, Navi Mumbai. This flat is situated within the renown township of Delta. This flat for resale is the perfect property for you! This apartment in one of the significant areas of Ulwe is ready to move, and can be purchased at the best price of INR 1.80 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. The property is constructed with proximity to major landmarks like delta tower.",1.80 Cr ,9783,navi-mumbai,1125 sqft,Ready to Move,7 out of 14,Resale,Unfurnished,East,"Garden/Park, Main Road",Delta,3,4,,Freehold,,,
1123,2 BHK Ready to Occupy Flat for sale Sector 35I Kharghar,"Sector 35I Kharghar, Navi Mumbai has an attractive 2 BHK Flat for sale. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Sector 35I Kharghar comes at an affordable price of INR 75 Lac. The flat is unfurnished and makes for an ideal choice for any family. Significant landmarks in its proximity are icici bank.",75 Lac ,7143,navi-mumbai,650 sqft,Ready to Move,3 out of 7,Resale,Unfurnished,East,"Pool, Main Road",,2,4,1 Covered,Co-operative Society,,,
1124,2 BHK Ready to Occupy Flat for sale in Gami Trixie Ulwe,"Have a look at this immaculate 2 BHK flat for sale in Ulwe, Navi Mumbai. Located in the Gami Trixie township, the flat enjoys access to the prime spots in the city. This flat is available as a resale property. Available at a reasonable selling price of INR 1.07 Cr, this ready to move apartment in Ulwe is a great buy. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. bamandongri railway station are some of the key nearby landmarks.",1.07 Cr ,9145,navi-mumbai,750 sqft,Ready to Move,7 out of 13,Resale,Unfurnished,North - East,Main Road,Gami Trixie,2,3,,Freehold,,,
1125,2 BHK Ready to Occupy Flat for sale Rasayani,"This exquisite 2 BHK Flat is offered for sale in Rasayani, Navi Mumbai. This apartment is a property of choice for resale. This ready to move property in Rasayani is readily available within an affordable cost of INR 35 Lac. You will find it unfurnished. The prime landmarks near this property are dand phata road..",35 Lac ,4605,navi-mumbai,,Ready to Move,2 out of 4,Resale,Unfurnished,East,"Garden/Park, Main Road",,2,3,"1 Covered,",Co-operative Society,760 sqft,,
1126,1 BHK Ready to Occupy Flat for sale in Omkar Residency Panvel,"Have a look at this immaculate 1 BHK flat for sale in Panvel, Navi Mumbai. Situated in the Omkar Residency township, it has a prime location. This flat for resale is a choice property. This apartment in one of the significant areas of Panvel is ready to move, and can be purchased at the best price of INR 33 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",33 Lac ,5323,navi-mumbai,415 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,,,Omkar Residency,1,3,,,,,
1127,2 BHK Ready to Occupy Flat for sale in Seawoods Estate Sector 50 Seawoods,"One can find this stunning 2 BHK flat for sale in Sector 50 Seawoods, Navi Mumbai. Located in the Seawoods Estate township, the flat enjoys access to the prime spots in the city. This flat all equipped with required facilities, is up for resale. Available at a reasonable selling price of INR 3.25 Cr, this ready to move apartment in Sector 50 Seawoods is a great buy. You will find it furnished.",3.25 Cr ,29545,navi-mumbai,800 sqft,Ready to Move,4 out of 12,Resale,Furnished,,,Seawoods Estate,2,,,,,,
1128,1 BHK Ready to Occupy Flat for sale in Nisarg Hyde Park Kharghar,"Discover this immaculate 1 BHK flat for sale at the pristine Kharghar in Navi Mumbai. Strategically situated in the Nisarg Hyde Park site, it is placed at a prime location. This flat for resale has a desirable location. Located in Kharghar, this ready to move apartment is sold at a fair selling price of INR 69 Lac. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. sbi bank are some major landmarks near the apartment.",69 Lac ,9200,navi-mumbai,460 sqft,Ready to Move,13 out of 17,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Nisarg Hyde Park,1,3,1 Open,Freehold,,,
1129,2 BHK Ready to Occupy Flat for sale Panvel,"Panvel, Navi Mumbai has an appealing 2 BHK flat for sale with various amenities. This flat for resale is a choice property. Located in Panvel, this ready to move apartment is sold at a fair selling price of INR 31 Lac. The spacious apartment is unfurnished.",Call for Price,,navi-mumbai,,Ready to Move,1 out of 3,Resale,Unfurnished,,,,2,,,,972 sqft,,
1130,1 BHK Ready to Occupy Flat for sale in Dev Samruddhi Kharghar,"Carefully laid out in the prime location of Kharghar in Navi Mumbai, this spacious 1 BHK flat on sale is a meticulously planned project. It enjoys an excellent location within the?Dev Samruddhi. This flat for resale is a choice property. This apartment in one of the significant areas of Kharghar is ready to move, and can be purchased at the best price of INR 46 Lac. It is unfurnished to accommodate your needs.",46 Lac ,7077,navi-mumbai,,Ready to Move,3 out of 5,Resale,Unfurnished,,,Dev Samruddhi,1,,,,650 sqft,,
1131,2 BHK Ready to Occupy Flat for sale in Sai Harmony Ulwe,"Ulwe, Navi Mumbai has an attractive 2 BHK Flat for sale. The property is ideally located in a strategic location in Sai Harmony township. This flat for resale is the perfect property for you! Available at a reasonable selling price of INR 98 Lac, this ready to move apartment in Ulwe is a great buy. This furnished flat is strategically designed with all the amenities to enhance the living experience. The property is constructed with proximity to major landmarks like shagun circle.",98 Lac ,8522,navi-mumbai,700 sqft,Ready to Move,4 out of 7,Resale,Furnished,North - East,"Garden/Park, Main Road",Sai Harmony,2,1,,Freehold,,,
1132,1 BHK Ready to Occupy Flat for sale in Rajal Park Kalamboli,"This attractive 1 BHK apartment can be found for sale in Kalamboli, Navi Mumbai. Situated in the excellent Rajal Park township. The flat enjoys a prime location. This flat for resale is a choice property. You can buy this ready to move flat in Kalamboli at a reasonable price of INR 36 Lac. The apartment is unfurnished. The flat is easily approachable because it is near to near by balaji international school.",36 Lac ,6000,navi-mumbai,400 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,Main Road,Rajal Park,1,2,,Co-operative Society,,,
1133,1 BHK Ready to Occupy Flat for sale in Hiranandani Fortune City Panvel,"This ready to move-in 1 BHK flat is available for sale at the premium Panvel in Navi Mumbai. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Hiranandani Fortune City. Invest your valuable money in this flat that is for resale. This ready to move flat in Panvel comes at an affordable price of INR 60 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",60 Lac ,7843,navi-mumbai,,Ready to Move,9 out of 12,Resale,Semi-Furnished,,,Hiranandani Fortune City,2,,,,765 sqft,,
1134,1 BHK Ready to Occupy Flat for sale in Arihant Airoli,"1 BHK flat available for sale in Navi Mumbai in the prime location of Airoli. This flat is situated in the Arihant township and is equipped with premium facilities. This flat for resale is just the type of property you have been searching for! In Airoli, this ready to move flat is available at an attractive price of INR 78 Lac. The spacious apartment is unfurnished. The property is constructed with proximity to major landmarks like landmarks neighborhood the property is close to dmart ,all banks et.",78 Lac ,12000,navi-mumbai,400 sqft,Ready to Move,2 out of 6,Resale,Unfurnished,East,Main Road,Arihant,1,1,,Co-operative Society,,,
1135,1 BHK Ready to Occupy Flat for sale Kharghar,"This attractive 1 BHK apartment can be found for sale in Kharghar, Navi Mumbai. This is one of the best properties available for resale. The ready to move flat in the prime area of Kharghar is available at a reasonable price of INR 45 Lac. This contemporary apartment is unfurnished. kharghar sector 34 near by kharghar bank of india navi mumbai are some major landmarks near the apartment.",45 Lac ,6429,navi-mumbai,450 sqft,Ready to Move,,Resale,Unfurnished,East,Main Road,,1,2,1 Open,Freehold,,,
1136,1 BHK Ready to Occupy Flat for sale Kharghar,"1 BHK flat available for sale in Navi Mumbai in the prime location of Kharghar. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat is offered at an economical price of INR 60 Lac. The flat is unfurnished and is suitable for any family size. Some nearby landmarks are kharghar sector 34 near by kharghar bank of india navi mumbai.",60 Lac ,8451,navi-mumbai,475 sqft,Ready to Move,,Resale,Unfurnished,North,Main Road,,1,2,1 Open,Freehold,,,
1137,1 BHK Ready to Occupy Flat for sale in Mahalaxmi Aangan Panvel,"Carefully laid out in the prime location of Panvel in Navi Mumbai, this spacious 1 BHK flat on sale is a meticulously planned project. It is based at Mahalaxmi Aangan complex, that occupies a prominent place in the locality. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Panvel comes at an affordable price of INR 18 Lac. The apartment is unfurnished.",18 Lac ,3543,navi-mumbai,,Ready to Move,1 out of 4,Resale,Unfurnished,,,Mahalaxmi Aangan,1,,,,508 sqft,,
1138,2 BHK Ready to Occupy Flat for sale in Paradise Sai Wonder Owe Village,"This attractive 2 BHK apartment can be found for sale in Owe Village, Navi Mumbai. It is based at Paradise Sai Wonder complex, that occupies a prominent place in the locality. Invest your valuable money in this flat that is for resale. In Owe Village, this ready to move flat is available at an attractive price of INR 1.10 Cr. You will find it unfurnished. near by food ball grond. are some major landmarks near the apartment.",1.10 Cr ,9865,navi-mumbai,700 sqft,Ready to Move,12 out of 19,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Paradise Sai Wonder,2,2,1 Covered,Leasehold,,,
1139,2 BHK Ready to Occupy Flat for sale in Rajnigandha Apartment Kopar Khairane,"Kopar Khairane, Navi Mumbai has an appealing 2 BHK flat for sale with various amenities. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Rajnigandha Apartment. This apartment for resale is a great choice. This apartment in one of the significant areas of Kopar Khairane is ready to move, and can be purchased at the best price of INR 90 Lac. The spacious apartment is semi-furnished.",90 Lac ,15000,navi-mumbai,,Ready to Move,1 out of 3,Resale,Semi-Furnished,,,Rajnigandha Apartment,2,,,,600 sqft,,
1140,3 BHK Ready to Occupy Flat for sale in Paradise Sai Miracle Kharghar,"Creatively planned and constructed is a 3 BHK flat for sale in Kharghar, Navi Mumbai. Ideally situated in the Paradise Sai Miracle township it enjoys a prime location. Invest your valuable money in this flat that is for resale. This ready to move flat in Kharghar can be taken at a very economical pricing of INR 1.70 Cr. The spacious apartment is unfurnished. Some neighbouring landmarks are kharghar sector 35 near by kharghar bank of india navi mumbai.",1.70 Cr ,9714,navi-mumbai,1200 sqft,Ready to Move,,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Paradise Sai Miracle,3,3,1 Covered,Freehold,,,
1141,1 BHK Ready to Occupy Flat for sale Kharghar,"This gorgeous 1 BHK Flat is available for sale in Kharghar, Navi Mumbai. This flat for resale has a desirable location. This ready to move flat in Kharghar comes at an affordable price of INR 65 Lac. The flat is available in unfurnished condition. Landmarks near the apartment include near by bank of india.",65 Lac ,9286,navi-mumbai,475 sqft,Ready to Move,,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",,2,2,1 Open,Freehold,,,
1142,1 BHK Ready to Occupy Flat for sale Kharghar,"This lovely 1 BHK Flat in Kharghar, Navi Mumbai is up for sale. This flat for resale has a desirable location. This apartment ready to move in the Kharghar is available for an attractive price of?INR 43 Lac. It is a unfurnished apartment. kharghar sector 35 near by kharghar bank of india navi mumbai are some of the well-known landmarks in this locality.",43 Lac ,6143,navi-mumbai,475 sqft,Ready to Move,,Resale,Unfurnished,East,Main Road,,1,2,1 Open,Freehold,,,
1143,2 BHK Ready to Occupy Flat for sale in Nirman Homes Panvel,Discover this immaculate 2 BHK flat for sale at the pristine Panvel in Navi Mumbai. Situated in the excellent Nirman Homes township. The flat enjoys a prime location. This apartment is a property of choice for resale. This ready to move flat in Panvel is available for a reasonable price of INR 33 Lac. The spacious apartment is unfurnished. Landmarks near the apartment include delhi public school..,Call for Price,,navi-mumbai,700 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,East,,Nirman Homes,2,3,,Freehold,,,
1144,1 BHK Ready to Occupy Flat for sale Panvel,"Panvel, Navi Mumbai has an appealing 1 BHK flat for sale with various amenities. This flat is available as a resale property. This ready to move flat is offered at an economical price of INR 22.5 Lac. The flat is unfurnished and is suitable for any family size.",22.5 Lac ,5844,navi-mumbai,,Ready to Move,1 out of 4,Resale,Unfurnished,,,,1,1,,,385 sqft,,
1145,1 BHK Ready to Occupy Flat for sale Kharghar,"This lovely 1 BHK Flat in Kharghar, Navi Mumbai is up for sale. This flat is an attractive property for resale. The ready to move flat in the prime area of Kharghar is available at a reasonable price of INR 42 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",42 Lac ,10838,navi-mumbai,450 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,,"1 Covered,",,,,
1146,1 BHK Ready to Occupy Flat for sale in Sai Udanda Roadpali,"One can find this stunning 1 BHK flat for sale in Roadpali, Navi Mumbai. Enjoying a prime location, this property is housed in the Sai Udanda society. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat located in Roadpali is available for purchase at a fair price of INR 55 Lac. The apartment is unfurnished. Some nearby landmarks are police headquarters.",55 Lac ,7857,navi-mumbai,450 sqft,Ready to Move,14 out of 14,Resale,Unfurnished,East,Main Road,Sai Udanda,2,3,1 Covered,Co-operative Society,,,
1147,2 BHK Ready to Occupy Flat for sale in Paradise Sai World Empire Sector 36 Kharghar,"This attractive 2 BHK apartment can be found for sale in Sector 36 Kharghar, Navi Mumbai. This flat is placed in a marvellous location within the Paradise Sai World Empire complex. This flat is available as a sale property. The ready to move flat in Sector 36 Kharghar is all ready for sale at a low-priced budget of INR 1.65 Cr. The handing over of this property has been made available on Dec '22. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. The property is constructed with proximity to major landmarks like near valleyshilp.",1.65 Cr ,12132,navi-mumbai,870 sqft,Ready to Move,2 out of 40,New Property,Unfurnished,North,Pool,Paradise Sai World Empire,2,2,1 Covered,Leasehold,,,
1148,2 BHK Ready to Occupy Flat for sale in Simran Saffire Sector 34 Kharghar,"Discover this immaculate 2 BHK flat for sale at the pristine Sector 34 Kharghar in Navi Mumbai. It is housed in the well-planned Simran Saffire township in an advantageous location. This flat all equipped with required facilities, is up for resale. Located in Sector 34 Kharghar, this ready to move apartment is sold at a fair selling price of INR 92 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Landmarks near the apartment include baghban restaurant, sai manomay.",92 Lac ,8762,navi-mumbai,,Ready to Move,2 out of 11,Resale,Unfurnished,East,,Simran Saffire,2,2,1 Covered,Freehold,1050 sqft,,
1149,1 BHK Ready to Occupy Flat for sale Sector 8B CBD Belapur,"Creatively planned and constructed is a 1 BHK flat for sale in Sector 8B CBD Belapur, Navi Mumbai. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Located in Sector 8B CBD Belapur, this ready to move apartment is sold at a fair selling price of INR 65 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities. Significant landmarks in its proximity are cbse schools, hospital and the bus dept nearby.",65 Lac ,11285,navi-mumbai,,Ready to Move,3 out of 3,Resale,Semi-Furnished,,Main Road,,1,,,Co-operative Society,576 sqft,,
1150,3 BHK Ready to Occupy Flat for sale Usarli Khurd,Discover this immaculate 3 BHK flat for sale at the pristine Usarli Khurd in Navi Mumbai. This apartment is a property of choice for resale. This apartment ready to move in the Usarli Khurd is available for an attractive price of?INR 80.5 Lac. The apartment is unfurnished. meenakshi nagar usarli village. are some major landmarks near the apartment.,80.5 Lac ,4448,navi-mumbai,1490 sqft,Ready to Move,2 out of 2,Resale,Unfurnished,East,Garden/Park,,3,1,,,,,
1151,1 BHK Ready to Occupy Flat for sale in Solanki Homes Navde,"One can find this stunning 1 BHK flat for sale in Navade, Navi Mumbai. It is based at Solanki Homes complex, that occupies a prominent place in the locality. This flat is an attractive property for resale. This apartment ready to move in the Navade is available for an attractive price of?INR 30 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",30 Lac ,4762,navi-mumbai,,Ready to Move,4 out of 7,Resale,Unfurnished,,,Solanki Homes,1,,,,630 sqft,,
1152,2 BHK Ready to Occupy Flat for sale in Greenwood Estate Panvel,"This attractive 2 BHK apartment can be found for sale in Panvel, Navi Mumbai. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Greenwood Estate. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Panvel is available for a reasonable price of INR 59 Lac. This premium unfurnished flat spells quality and comfort at a competitive price. Some neighbouring landmarks are balaji residency taloja midc..",59 Lac ,4480,navi-mumbai,890 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,,,Greenwood Estate,2,,,,,,
1153,3 BHK Ready to Occupy Flat for sale New Panvel East,"New Panvel East, Navi Mumbai has an attractive 3 BHK Flat for sale. This flat for resale has a desirable location. This apartment in one of the significant areas of New Panvel East is ready to move, and can be purchased at the best price of INR 1.15 Cr. The flat is unfurnished and makes for an ideal choice for any family. Some nearby landmarks are cidco garden..",1.15 Cr ,9583,navi-mumbai,,Ready to Move,3 out of 4,Resale,Unfurnished,East,Main Road,,2,4,,Freehold,1200 sqft,,
1154,4 BHK Ready to Occupy Flat for sale Sector 21 Kharghar,"Creatively planned and constructed is a 4 BHK flat for sale in Sector 21-Khargar, Navi Mumbai. This flat for resale is the perfect property for you! This ready to move flat in Sector 21-Khargar can be availed at a reasonable price of INR 6 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Some neighbouring landmarks are unnathi tower, jalvayu vihar.",6 Cr ,16667,navi-mumbai,,Ready to Move,18 out of 24,Resale,Unfurnished,East,,,4,5,1 Covered,Freehold,3600 sqft,,
1155,1 BHK Ready to Occupy Flat for sale in Uma Paradise Taloja,"Taloja, Navi Mumbai has an attractive 1 BHK Flat for sale. Enjoying a prime location, this property is housed in the Uma Paradise society. This apartment is a property of choice for resale. Located in Taloja, this ready to move apartment is sold at a fair selling price of INR 65 Lac. The flat is sold in semi-furnished condition.",65 Lac ,6047,navi-mumbai,,Ready to Move,10 out of 12,Resale,Semi-Furnished,,,Uma Paradise,2,,,,1075 sqft,,
1156,2 BHK Ready to Occupy Flat for sale in Juhi Niharika Residency Owe Village,"Owe Village, Navi Mumbai has an appealing 2 BHK flat for sale with various amenities. The property is ideally located in a strategic location in Juhi Niharika Residency township. This flat for resale is the perfect property for you! In Owe Village, this ready to move flat is available at an attractive price of INR 94 Lac. The flat is available in unfurnished condition. The flat is in close proximity to prominent landmarks like near by food ball grond..",94 Lac ,8785,navi-mumbai,700 sqft,Ready to Move,2 out of 23,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Juhi Niharika Residency,2,2,1 Covered,Leasehold,,,
1157,1 BHK Ready to Occupy Flat for sale in Suncity Reva Roadpali,"1 BHK flat available for sale in Navi Mumbai in the prime location of Roadpali. It is housed in the well-planned Suncity Reva township in an advantageous location. This flat is an attractive property for resale. Located in Roadpali, this ready to move apartment is sold at a fair selling price of INR 50 Lac. Available in unfurnished state, this flat is a great buy. Significant landmarks in its proximity are reliance smart.",50 Lac ,,navi-mumbai,500 sqft,Ready to Move,1 out of 7,Resale,Unfurnished,North,Garden/Park,Suncity Reva,1,1,,Freehold,,,
1158,3 BHK Ready to Occupy Flat for sale in Sai Mannat Kharghar,"This gorgeous 3 BHK Flat is available for sale in Kharghar, Navi Mumbai. It enjoys an excellent location within the?Sai Mannat. This flat is available as a resale property. In Kharghar, this ready to move flat is available at an attractive price of INR 1.95 Cr. The spacious apartment is unfurnished. Significant landmarks in its proximity are near by food ball grond..",1.95 Cr ,11607,navi-mumbai,1092 sqft,Ready to Move,18 out of 26,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Sai Mannat,2,5,1 Covered,Leasehold,,,
1159,2 BHK Ready to Occupy Flat for sale Panvel,"Have a look at this immaculate 2 BHK flat for sale in Panvel, Navi Mumbai. This flat for resale is the perfect property for you! This apartment in one of the significant areas of Panvel is ready to move, and can be purchased at the best price of INR 40 Lac. You will find it semi-furnished. The flat is easily approachable because it is near to property is near to mumbai-pune highway with just 300m. newly constructed airport is just 5 km. panvel station is 5km where you get sharing auto from above mentioned highway of the society. newly constructed highways makes your journey towards jnpt easily. also property is just 10 km away from newly constructed mumbai trans harbour link. it is a formed society with no cases related to plota 2 bhk in gokul complex , derawali. for sale is now available, it is one of a few houses at this rate. situated on the 4th floor this home can comfortably serve your car and bike parking facility needs. this east facing home is over 850 sqft. & is in a convenient location.::::::::as this home comes with parking for visitors, fire safety, waste treatment plant & gas pipeline & more such amenities, living here would make life more pleasant. if you are looking for a home with security, elevator & wi-fi access, this home is just right for you. amenities like children play zone, garden & swimming pool gives you something to do in your free time.-- generated by system (sia)a 2 bhk in gokul complex , derawali. for sale is now available, it is one of a few houses at this rate. situated on the 4th floor this home can comfortably serve your car and bike parking facility needs. this east facing home is over 850 sqft. & is in a convenient location.::::::::as this home comes with parking for visitors, fire safety, waste treatment plant & gas pipeline & more such amenities, living here would make life more pleasant. if you are looking for a home with security, elevator & wi-fi access, this home is just right for you. amenities like children play zone, garden & swimming pool gives you something to do in your free time.-- generated by system (sia)a 2 bhk in gokul complex , derawali. for sale is now available, it is one of a few houses at this rate. situated on the 4th floor this home can comfortably serve your car and bike parking facility needs. this east facing home is over 850 sqft. & is in a convenient location.::::::::as this home comes with parking for visitors, fire safety, waste treatment plant & gas pipeline & more such amenities, living here would make life more pleasant. if you are looking for a home with security, elevator & wi-fi access, this home is just right for you. amenities like children play zone, garden & swimming pool gives you something to do in your free time.-- generated by system (sia)::::a 2 bhk in gokul complex , derawali. for sale is now available, it is one of a few houses at this rate. situated on the 4th floor this home can comfortably serve your car and bike parking facility needs. this east facing home is over 850 sqft. & is in a convenient location.::::::::as this home comes with parking for visitors, fire safety, waste treatment plant & gas pipeline & more such amenities, living here would make life more pleasant. if you are looking for a home with security, elevator & wi-fi access, this home is just right for you. amenities like children play zone, garden & swimming pool gives you something to do in your free time..",40 Lac ,5333,navi-mumbai,600 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",,2,,1 Covered,Co-operative Society,,,
1160,2 BHK Ready to Occupy Flat for sale in Sai Mannat Kharghar,"Up for immediate sale is a 2 BHK apartment in Kharghar, Navi Mumbai. Don't miss this bargain flat for sale. Strategically situated in the Sai Mannat site, it is placed at a prime location. This flat all equipped with required facilities, is up for resale. In Kharghar, this ready to move flat is available at an attractive price of INR 1.45 Cr. The spacious apartment is unfurnished. Significant landmarks in its proximity are near by food ball grond khargharsec 34..",1.45 Cr ,11789,navi-mumbai,799 sqft,Ready to Move,10 out of 26,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Sai Mannat,2,3,1 Covered,Leasehold,,,
1161,2 BHK Ready to Occupy Flat for sale in Ventures Residency Kharghar,"This magnificent 2 BHK Flat is available for sale in Kharghar, Navi Mumbai. This flat is situated in the Ventures Residency township and is equipped with premium facilities. This flat for resale is the perfect property for you! This ready to move flat is offered at an economical price of INR 92 Lac. Available in unfurnished state, this flat is a great buy. The property is constructed with proximity to major landmarks like bank of india..",92 Lac ,7360,navi-mumbai,812 sqft,Ready to Move,,Resale,Unfurnished,North - East,Main Road,Ventures Residency,2,2,1 Covered,Freehold,,,
1162,2 BHK Ready to Occupy Flat for sale in Prem Amber Kamothe,"One can find this stunning 2 BHK flat for sale in Kamothe, Navi Mumbai. This flat is situated within the renown township of Prem Amber. Invest your valuable money in this flat that is for resale. This ready to move flat in Kamothe can be availed at a reasonable price of INR 80 Lac. The flat is available in unfurnished condition.",80 Lac ,8000,navi-mumbai,,Ready to Move,2 out of 14,Resale,Unfurnished,,,Prem Amber,2,,,,1000 sqft,,
1163,2 BHK Ready to Occupy Flat for sale in Orient Platinum Kharghar,"This gorgeous 2 BHK Flat is available for sale in Kharghar, Navi Mumbai. It is housed in the well-planned Orient Platinum township in an advantageous location. This is one of the best properties available for resale. This apartment ready to move in the Kharghar is available for an attractive price of?INR 1.25 Cr. This premium unfurnished flat spells quality and comfort at a competitive price. Some neighbouring landmarks are near proposed metro station.",1.25 Cr ,10000,navi-mumbai,800 sqft,Ready to Move,7 out of 14,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Orient Platinum,2,2,1 Covered,Leasehold,,,
